,loss,val_loss,lr
0,0.28329673409461975,7.099091053009033,0.10000000149011612
1,6.801328659057617,1.4878414869308472,0.10000000149011612
2,1.3596422672271729,0.16283920407295227,0.10000000149011612
3,0.15511435270309448,0.30953824520111084,0.10000000149011612
4,0.24433043599128723,0.2801041603088379,0.10000000149011612
5,0.2220631241798401,0.2193445861339569,0.10000000149011612
6,0.16570055484771729,0.1951238512992859,0.10000000149011612
7,0.13313481211662292,0.1756996363401413,0.10000000149011612
8,0.11051583290100098,0.14310874044895172,0.10000000149011612
9,0.0818726196885109,0.11065816134214401,0.10000000149011612
10,0.054953236132860184,0.0929996594786644,0.10000000149011612
11,0.047900859266519547,0.09070311486721039,0.019999999552965164
12,0.04930221289396286,0.08777783811092377,0.019999999552965164
13,0.049765124917030334,0.08483391255140305,0.019999999552965164
14,0.04988148435950279,0.08184970915317535,0.019999999552965164
15,0.04910016059875488,0.07990217953920364,0.019999999552965164
16,0.048767853528261185,0.07894987612962723,0.019999999552965164
17,0.04949791729450226,0.0788140818476677,0.019999999552965164
18,0.05061294510960579,0.07885260879993439,0.019999999552965164
19,0.05110533535480499,0.07904708385467529,0.019999999552965164
20,0.05030988156795502,0.07946686446666718,0.019999999552965164
21,0.04918239638209343,0.07958568632602692,0.003999999724328518
22,0.048930373042821884,0.07973941415548325,0.003999999724328518
23,0.048621758818626404,0.07992780953645706,0.003999999724328518
24,0.048283226788043976,0.08014749735593796,0.003999999724328518
25,0.047985754907131195,0.08039140701293945,0.003999999724328518
26,0.047658395022153854,0.08073952794075012,0.003999999724328518
27,0.04730062931776047,0.08111977577209473,0.003999999724328518
28,0.04691433161497116,0.08151671290397644,0.003999999724328518
29,0.04654596745967865,0.08192576467990875,0.003999999724328518
30,0.046154558658599854,0.08234623074531555,0.003999999724328518
31,0.04575444757938385,0.08243178576231003,0.0007999999215826392
32,0.0456731915473938,0.08251871913671494,0.0007999999215826392
33,0.04558655619621277,0.08260693401098251,0.0007999999215826392
34,0.0454949215054512,0.08269638568162918,0.0007999999215826392
